bond_dim_1,bond_dim_2,bond_dim_3,bond_dim_4,bond_dim_5,bond_dim_6,bond_dim_7,bond_dim_8,bond_dim_9,bond_dim_10,bond_dim_11,bond_dim_12,bond_dim_13,bond_dim_14,bond_dim_15,bond_dim_16,bond_dim_17,bond_dim_18,bond_dim_19
2,4,8,13,11,7,8,6,7,6,7,6,4,4,4,4,4,4,2
2,4,8,13,11,7,7,6,7,6,6,6,4,4,4,4,4,4,2
2,4,8,13,12,8,7,6,6,6,5,5,4,4,4,4,4,4,2
2,4,8,14,13,10,8,6,7,6,5,5,4,4,4,4,4,4,2
2,4,8,14,14,10,9,7,8,6,6,5,4,4,4,4,4,4,2
2,4,8,14,14,11,10,7,8,6,6,5,4,4,4,4,4,4,2
2,4,8,14,14,11,10,7,8,6,6,5,4,4,4,4,4,4,2
2,4,8,15,15,11,9,7,7,6,7,6,4,4,4,4,4,4,2
2,4,8,16,15,11,9,7,7,6,7,6,4,4,4,4,4,4,2
2,4,8,16,16,12,10,7,7,6,7,6,4,4,4,4,4,4,2
2,4,8,16,17,13,11,8,8,7,7,6,4,4,4,4,4,4,2
2,4,8,16,18,13,11,8,8,7,7,6,4,4,4,4,4,4,2
2,4,8,16,18,13,11,8,8,7,7,6,4,4,4,4,4,4,2
2,4,8,16,19,13,11,8,8,7,7,6,4,4,4,4,4,4,2
2,4,8,16,19,13,11,8,8,7,7,6,4,4,4,4,4,4,2
2,4,8,16,19,14,12,8,8,7,7,6,5,4,4,4,4,4,2
2,4,8,16,19,14,12,8,8,7,7,6,5,4,4,4,4,4,2
2,4,8,16,19,15,12,9,9,7,7,6,5,4,4,4,4,4,2
2,4,8,16,19,15,12,9,9,7,7,6,5,4,4,4,4,4,2
2,4,8,16,19,15,12,9,9,7,7,6,5,4,4,4,4,4,2
2,4,8,16,19,15,12,9,9,7,7,6,5,4,4,4,4,4,2
2,4,8,16,19,16,13,9,9,7,7,6,5,4,4,4,4,4,2
2,4,8,16,19,16,13,9,9,7,7,6,5,4,4,4,4,4,2
2,4,8,16,20,16,13,9,9,7,7,6,5,4,4,4,4,4,2
2,4,8,16,21,16,13,9,9,7,7,6,5,4,4,4,4,4,2
2,4,8,16,21,16,13,9,9,7,7,6,5,4,4,4,4,4,2
2,4,8,16,21,17,14,10,10,8,7,6,5,4,4,4,4,4,2
